osm_id,ZT13,,,,,,,,,,,,,,,,
104476238,20,104476238,,,,,,,,,,,,,,,
19895957,10,19895957,,,,,,,,,,,,,,,
19895958,10,19895958,,,,,,,,,,,,,,,
19914255,10,19914255,,,,,,,,,,,,,,,
48678926,10,48678926,,,,,,,,,,,,,,,
474555858,10,474555858,,,,,,,,,,,,,,,
19895498,14,19895498,,,,,,,,,,,,,,,
352905244,14,352905244,,,,,,,,,,,,,,,
34286991,36,34286991,,,,,,,,,,,,,,,
34287015,36,34287015,,,,,,,,,,,,,,,
34287039,36,34287039,,,,,,,,,,,,,,,
34287041,36,34287041,,,,,,,,,,,,,,,
356979511,36,356979511,,,,,,,,,,,,,,,
19899867,5,19899867,,,,,,,,,,,,,,,
35165792,5,35165792,,,,,,,,,,,,,,,
35165799,5,35165799,,,,,,,,,,,,,,,
19652361,5,19652361#2,,,,,,,,,,,,,,,
104476234,32,104476234#1,,,,,,,,,,,,,,,
4320462,36,4320462#0,4320462#1,,,,,,,,,,,,,,
4320463,48,4320463,,,,,,,,,,,,,,,
20318110,36,20318110,,,,,,,,,,,,,,,
374954611,48,374954611#0,374954611#1,,,,,,,,,,,,,,
15834714,4,15834714,,,,,,,,,,,,,,,
15834714,5,15834714,,,,,,,,,,,,,,,
101976281,36,101976281,-101976281,,,,,,,,,,,,,,
101976296,36,101976281,-101976281,,,,,,,,,,,,,,
331089331,36,331089331#1,,,,,,,,,,,,,,,
331089331,37,331089331#0,,,,,,,,,,,,,,,
352905363,36,101976281,-101976281,,,,,,,,,,,,,,
19908071,45,19908071#2,19908071#0,19908071#3,-19908071#0,-19908071#3,,,,,,,,,,,
19908073,45,19908073#2,19908073#3,19908073#4,,,,,,,,,,,,,
165265049,12,165265049#0,165265049#1,165265049#2,,,,,,,,,,,,,
123213513,22,123213513,-123213513,,,,,,,,,,,,,,
329384201,22,329384201#0,329384201#1,-329384201#0,-329384201#1,,,,,,,,,,,,
329384203,22,329384203,-329384203,,,,,,,,,,,,,,
465414045,30,465414045,-465414045,,,,,,,,,,,,,,
465414050,30,465414050,-465414050,,,,,,,,,,,,,,
48921999,34,48921999,-48921999,,,,,,,,,,,,,,
329384210,30,329384210,-329384210,,,,,,,,,,,,,,
80194350,39,453989310,,,,,,,,,,,,,,,
48680979,9,48680979,,,,,,,,,,,,,,,
165265052,1,165265052#0,-165265052#0,,,,,,,,,,,,,,
465416564,1,465416564#0,-465416564#0,,,,,,,,,,,,,,
465416565,1,465416564#0,-465416564#0,,,,,,,,,,,,,,
465416566,1,165265052#0,-165265052#0,,,,,,,,,,,,,,
115790308,22,465416567#0,465416567#2,-465416567#0,-465416567#2,,,,,,,,,,,,
465416567,22,465416567#0,465416567#2,-465416567#0,-465416567#2,,,,,,,,,,,,
19899276,5,19899276,,,,,,,,,,,,,,,
26134691,50,26134691,,,,,,,,,,,,,,,
455083965,19,455083965,,,,,,,,,,,,,,,
